                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.82922,                0.36413,                 1.2112,                0.98883,                0.91122,                0.96652,                0.66855,                 1.2594,                0.54114,                 1.6578,             0.00057778,             0.00057778,             0.00057778
                     36,                 0.8274,                0.36485,                 1.2102,                0.97854,                0.91668,                0.96401,                0.67352,                 1.2291,                0.52738,                 1.6287,             0.00054478,             0.00054478,             0.00054478
                     37,                0.83319,                0.36162,                 1.2107,                0.97235,                0.92016,                 0.9672,                0.67057,                 1.2927,                0.56571,                 1.6647,             0.00051177,             0.00051177,             0.00051177
                     38,                0.82042,                0.35649,                 1.2035,                0.98127,                0.91305,                0.96735,                0.68237,                 1.2394,                0.56932,                 1.6387,             0.00047876,             0.00047876,             0.00047876
                     39,                0.81847,                0.34813,                 1.2017,                0.98683,                0.92164,                0.96719,                 0.6751,                 1.2746,                0.53805,                 1.6826,             0.00044576,             0.00044576,             0.00044576
                     40,                0.82364,                0.34897,                 1.2061,                0.97503,                0.91527,                0.96343,                0.66485,                  1.273,                0.56969,                 1.6383,             0.00041275,             0.00041275,             0.00041275
                     41,                0.74356,                0.28352,                 1.2269,                0.97886,                0.92246,                0.96825,                0.65333,                 1.3202,                0.55584,                 1.6786,             0.00037974,             0.00037974,             0.00037974
                     42,                0.74039,                 0.2785,                 1.2123,                0.97625,                0.94194,                0.97166,                0.67789,                 1.2237,                0.50569,                 1.6343,             0.00034674,             0.00034674,             0.00034674
                     43,                0.73304,                0.26964,                 1.2141,                0.97847,                0.92579,                0.96815,                0.66799,                 1.2526,                0.53888,                 1.6274,             0.00031373,             0.00031373,             0.00031373
                     44,                   0.73,                0.26696,                 1.2119,                0.97976,                0.92415,                0.96644,                0.67231,                 1.2463,                 0.5332,                 1.6304,             0.00028072,             0.00028072,             0.00028072
                     45,                 0.7253,                0.26588,                 1.2061,                 0.9769,                0.93358,                0.96919,                0.66958,                 1.2551,                0.51668,                 1.6616,             0.00024772,             0.00024772,             0.00024772
                     46,                0.72048,                0.26006,                  1.192,                0.97947,                0.93515,                0.96974,                0.67109,                 1.2274,                0.50313,                 1.6211,             0.00021471,             0.00021471,             0.00021471
                     47,                0.71587,                0.25672,                 1.1977,                0.98969,                0.91753,                0.96605,                0.65823,                 1.2716,                0.51532,                 1.6649,              0.0001817,              0.0001817,              0.0001817
                     48,                 0.7105,                0.25226,                 1.1924,                0.98624,                0.92101,                0.96694,                0.66654,                 1.2433,                0.50506,                 1.6455,              0.0001487,              0.0001487,              0.0001487
                     49,                0.70681,                0.24691,                 1.1835,                0.98267,                0.92871,                0.96861,                0.67055,                 1.2431,                0.49895,                 1.6361,             0.00011569,             0.00011569,             0.00011569
                     50,                0.70455,                0.24554,                 1.1814,                0.97317,                0.93979,                0.96947,                0.67225,                 1.2386,                0.48967,                  1.634,             8.2683e-05,             8.2683e-05,             8.2683e-05
